9
730 90 2
160 160 0 wall
160 180 0 wall
160 200 0 wall
160 220 0 wall
160 340 1 wall
160 360 1 wall
160 380 1 wall
160 400 1 wall
160 540 0 wall
160 560 0 wall
160 580 0 wall
160 600 0 wall
180 200 0 wall
180 220 0 wall
180 340 1 wall
180 360 1 wall
180 380 1 wall
180 400 1 wall
180 540 0 wall
180 560 0 wall
180 580 0 wall
180 600 0 wall
200 200 0 wall
200 220 0 wall
200 340 1 wall
200 360 1 wall
200 380 1 wall
200 400 1 wall
200 540 0 wall
200 560 0 wall
200 580 0 wall
200 600 0 wall
220 200 0 wall
220 220 0 wall
220 340 1 wall
220 360 1 wall
220 380 1 wall
220 400 1 wall
220 540 0 wall
220 560 0 wall
220 580 0 wall
220 600 0 wall
240 200 0 wall
240 220 0 wall
240 340 1 wall
240 360 1 wall
240 380 1 wall
240 400 1 wall
240 540 0 wall
240 560 0 wall
240 580 0 wall
240 600 0 wall
260 160 0 wall
260 180 0 wall
260 200 0 wall
260 220 0 wall
260 340 1 wall
260 360 1 wall
260 380 1 wall
260 400 1 wall
260 540 0 wall
260 560 0 wall
260 580 0 wall
260 600 0 wall
280 160 0 wall
280 180 0 wall
280 200 0 wall
280 220 0 wall
280 340 1 wall
280 360 1 wall
280 380 1 wall
280 400 1 wall
280 540 0 wall
280 560 0 wall
280 580 0 wall
280 600 0 wall
300 220 0 wall
300 340 1 wall
300 360 1 wall
300 380 1 wall
300 400 1 wall
300 540 0 wall
300 560 0 wall
300 580 0 wall
300 600 0 wall
320 220 0 wall
320 340 1 wall
320 360 1 wall
320 380 1 wall
320 400 1 wall
320 540 0 wall
320 560 0 wall
320 580 0 wall
320 600 0 wall
420 340 1 wall
420 360 1 wall
420 380 1 wall
420 400 1 wall
420 540 0 wall
420 560 0 wall
420 580 0 wall
420 600 0 wall
440 160 0 wall
440 180 0 wall
440 200 0 wall
440 220 0 wall
440 340 1 wall
440 360 1 wall
440 380 1 wall
440 400 1 wall
440 540 0 wall
440 560 0 wall
440 580 0 wall
440 600 0 wall
460 160 0 wall
460 180 0 wall
460 200 0 wall
460 220 0 wall
460 340 1 wall
460 360 1 wall
460 380 1 wall
460 400 1 wall
460 540 0 wall
460 560 0 wall
460 580 0 wall
460 600 0 wall
480 160 0 wall
480 180 0 wall
480 200 0 wall
480 220 0 wall
480 340 1 wall
480 360 1 wall
480 380 1 wall
480 400 1 wall
480 540 0 wall
480 560 0 wall
480 580 0 wall
480 600 0 wall
500 340 1 wall
500 360 1 wall
500 380 1 wall
500 400 1 wall
520 220 0 wall
520 340 1 wall
520 360 1 wall
520 380 1 wall
520 400 1 wall
540 180 0 wall
540 200 0 wall
540 220 0 wall
540 340 1 wall
540 360 1 wall
540 380 1 wall
540 400 1 wall
560 160 0 wall
560 180 0 wall
560 200 0 wall
560 220 0 wall
560 340 1 wall
560 360 1 wall
560 380 1 wall
560 400 1 wall
560 540 0 wall
560 560 0 wall
560 580 0 wall
560 600 0 wall
580 160 0 wall
580 180 0 wall
580 200 0 wall
580 220 0 wall
580 340 1 wall
580 360 1 wall
580 380 1 wall
580 400 1 wall
580 540 0 wall
580 560 0 wall
580 580 0 wall
580 600 0 wall
680 160 0 wall
680 180 0 wall
680 200 0 wall
680 220 0 wall
680 340 1 wall
680 360 1 wall
680 380 1 wall
680 400 1 wall
680 540 0 wall
680 560 0 wall
680 580 0 wall
680 600 0 wall
700 220 0 wall
700 340 1 wall
700 360 1 wall
700 380 1 wall
700 400 1 wall
700 540 0 wall
700 560 0 wall
700 580 0 wall
700 600 0 wall
720 340 1 wall
720 360 1 wall
720 380 1 wall
720 400 1 wall
720 540 0 wall
720 560 0 wall
720 580 0 wall
720 600 0 wall
740 160 0 wall
740 180 0 wall
740 200 0 wall
740 220 0 wall
740 340 1 wall
740 360 1 wall
740 380 1 wall
740 400 1 wall
740 540 0 wall
740 560 0 wall
740 580 0 wall
740 600 0 wall
760 200 0 wall
760 220 0 wall
760 340 1 wall
760 360 1 wall
760 380 1 wall
760 400 1 wall
760 540 0 wall
760 560 0 wall
760 580 0 wall
760 600 0 wall
780 160 0 wall
780 180 0 wall
780 200 0 wall
780 220 0 wall
780 340 1 wall
780 360 1 wall
780 380 1 wall
780 400 1 wall
780 540 0 wall
780 560 0 wall
780 580 0 wall
780 600 0 wall
800 220 0 wall
800 340 1 wall
800 360 1 wall
800 380 1 wall
800 400 1 wall
800 540 0 wall
800 560 0 wall
800 580 0 wall
800 600 0 wall
820 340 1 wall
820 360 1 wall
820 380 1 wall
820 400 1 wall
820 540 0 wall
820 560 0 wall
820 580 0 wall
820 600 0 wall
840 340 1 wall
840 360 1 wall
840 380 1 wall
840 400 1 wall
840 540 0 wall
840 560 0 wall
840 580 0 wall
840 600 0 wall
